dataset_name,split,model_name,text_embedding_backend,decision_threshold,n_features,n_structured_features,n_text_embedding_features,n_note_metadata_features,n_event_features,auroc,auprc,accuracy,precision,recall,f1,brier_score,specificity,sensitivity,tp,fp,tn,fn,stack_train_examples,variant_name
horizon_24h,test,xgboost_text_augmented,transformer:emilyalsentzer/Bio_ClinicalBERT,0.584658145904541,1987,428,1536,14,9,0.9992728894836622,0.9787114929805338,0.9960179193628671,0.9344262295081968,0.9771428571428571,0.9553072625698324,0.003073037385426526,0.9968774395003903,0.9771428571428571,171,12,3831,4,,structured_full
horizon_24h,val,xgboost_text_augmented,transformer:emilyalsentzer/Bio_ClinicalBERT,0.584658145904541,1987,428,1536,14,9,0.9983210196248617,0.9632870562146576,0.994495871903928,0.8974358974358975,0.958904109589041,0.9271523178807947,0.005033167427925961,0.9958452350038951,0.958904109589041,140,16,3835,6,,structured_full
horizon_24h,test,stacked_xgboost_notes,transformer:emilyalsentzer/Bio_ClinicalBERT,0.5,16,360,1536,14,0,0.7871543808780341,0.3573272482053931,0.7961672473867596,0.12988505747126436,0.6457142857142857,0.21626794258373205,0.18418012624590946,0.8030184751496227,0.6457142857142857,113,757,3086,62,3997.0,vitals_labs
horizon_24h,test,xgboost_text_augmented,transformer:emilyalsentzer/Bio_ClinicalBERT,0.09730266034603119,1910,360,1536,14,0,0.7936403851157949,0.2914617542548093,0.9569437531110006,0.515625,0.18857142857142858,0.27615062761506276,0.038375223934361435,0.9919333853760083,0.18857142857142858,33,31,3812,142,,vitals_labs
horizon_24h,val,xgboost_text_augmented,transformer:emilyalsentzer/Bio_ClinicalBERT,0.09730266034603119,1910,360,1536,14,0,0.7572788423572601,0.20278330892637775,0.9614711033274956,0.43103448275862066,0.17123287671232876,0.24509803921568626,0.03330425161857923,0.9914307971955336,0.17123287671232876,25,33,3818,121,,vitals_labs
horizon_24h,test,stacked_xgboost_notes,transformer:emilyalsentzer/Bio_ClinicalBERT,0.5,16,160,1536,14,0,0.6932158655812052,0.1334417468157043,0.6998506719761075,0.08460918614020951,0.6,0.1483050847457627,0.2263437247513212,0.7043976060369503,0.6,105,1136,2707,70,3997.0,vitals_only
horizon_24h,test,xgboost_text_augmented,transformer:emilyalsentzer/Bio_ClinicalBERT,0.04642846807837486,1710,160,1536,14,0,0.720206683766403,0.14884956287543938,0.928073668491787,0.19680851063829788,0.21142857142857144,0.20385674931129477,0.04115154104806054,0.9607077803799116,0.21142857142857144,37,151,3692,138,,vitals_only
horizon_24h,val,xgboost_text_augmented,transformer:emilyalsentzer/Bio_ClinicalBERT,0.04642846807837486,1710,160,1536,14,0,0.7019685333466135,0.0797854498678537,0.9301976482361771,0.12429378531073447,0.1506849315068493,0.13622291021671826,0.03548653483546888,0.9597507141002337,0.1506849315068493,22,155,3696,124,,vitals_only
horizon_6h,test,stacked_xgboost_notes,transformer:emilyalsentzer/Bio_ClinicalBERT,0.5,25,428,1536,14,9,0.9957474020976821,0.964092928200096,0.9948515531148103,0.9216300940438872,0.9832775919732442,0.9514563106796117,0.005622194933960307,0.9954775687409552,0.9832775919732442,294,25,5503,5,5745.0,structured_full
horizon_6h,test,xgboost_text_augmented,transformer:emilyalsentzer/Bio_ClinicalBERT,0.14928120374679565,1987,428,1536,14,9,0.9990707084396131,0.9803387846219497,0.9945083233224644,0.9158878504672897,0.9832775919732442,0.9483870967741935,0.004062083358024041,0.9951157742402316,0.9832775919732442,294,27,5501,5,,structured_full
